Continent;Region;Country;Criminality avg,;Criminal markets avg,;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;Cyber-dependent crimes;Financial crimes;Trade in counterfeit goods;Illicit trade in excisable goods;Extortion and protection racketeering;Criminal actors avg,;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;Private sector actors;Resilience avg,;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors
Asia;Southern Asia;Nepal;6.57;6.03;8.00;7.50;6.00;7.00;7.00;7.50;4.50;4.00;6.00;4.50;3.00;7.00;7.50;4.50;6.50;7.10;5.50;7.50;7.50;7.50;7.50;4.00;3.50;2.50;5.50;4.50;3.00;4.50;4.50;3.50;4.00;4.50;4.00;4.00
Asia;Western Asia;Saudi Arabia;6.23;6.57;8.00;7.50;8.00;5.00;7.50;7.50;6.50;5.50;6.50;9.00;7.50;8.00;6.00;4.00;2.00;5.90;3.00;6.50;8.50;3.50;8.00;4.00;3.50;2.50;5.00;4.00;3.00;4.00;5.00;5.50;5.00;4.00;4.50;2.00
Americas;South America;Guyana;5.97;5.13;5.50;4.50;6.00;4.50;3.50;9.00;3.00;8.50;3.50;3.50;2.00;8.50;4.00;4.00;7.00;6.80;6.00;5.00;8.00;7.00;8.00;4.04;4.00;3.00;5.00;3.50;4.00;3.00;4.00;4.00;4.50;5.00;4.50;4.00
Africa;West Africa;Sierra Leone;4.95;4.60;5.00;4.00;3.50;7.00;6.50;7.00;2.50;5.50;7.00;6.00;1.50;4.00;4.00;3.50;2.00;5.30;2.50;6.00;6.50;7.50;4.00;4.04;4.50;4.00;5.00;3.50;3.00;4.00;4.50;4.50;3.50;3.00;4.00;5.00
Americas;Caribbean & Central;Honduras;7.05;6.00;7.00;6.50;6.50;7.00;6.50;5.00;2.00;8.50;7.50;3.50;6.50;7.50;3.50;4.00;8.50;8.10;8.50;7.50;8.50;8.00;8.00;4.08;3.00;3.50;6.50;4.00;3.50;5.00;4.50;4.00;3.50;3.00;4.50;4.00
Americas;Caribbean & Central;Guatemala;6.60;6.10;7.00;7.50;7.00;4.50;4.50;3.00;7.50;8.50;6.00;6.00;5.00;6.50;5.50;5.00;8.00;7.10;7.50;6.00;8.00;8.00;6.00;4.08;3.00;3.50;5.50;4.50;3.50;5.00;3.50;4.50;4.00;4.00;4.00;4.00
Asia;Southern Asia;Maldives;4.27;3.53;7.00;6.50;2.00;2.00;5.00;2.00;6.50;3.50;4.00;2.00;3.50;3.50;1.00;2.00;2.50;5.00;6.50;6.00;5.00;4.50;3.00;4.08;5.50;6.00;5.50;5.50;3.00;4.00;3.00;3.50;3.00;2.00;3.00;5.00
Africa;East Africa;Tanzania;6.20;6.40;6.50;7.00;6.00;7.00;8.00;6.50;8.00;6.00;7.00;5.50;5.00;5.50;7.00;7.00;4.00;6.00;3.50;7.00;6.50;6.50;6.50;4.13;5.50;2.50;4.50;5.50;5.00;3.50;4.50;5.00;5.00;3.00;3.00;2.50
Americas;Caribbean & Central;Mexico;7.57;8.13;8.00;9.00;8.50;7.50;7.00;7.50;8.00;9.00;8.00;9.00;7.50;8.50;8.50;7.00;9.00;7.00;9.00;9.00;7.50;3.50;6.00;4.21;3.00;3.00;6.50;5.50;4.00;5.00;3.00;4.00;5.00;3.50;4.00;4.00
Asia;South-Eastern Asia;Philippines;6.63;6.57;7.50;5.50;7.50;7.00;7.50;8.00;4.00;4.00;4.50;9.00;7.50;8.00;7.00;6.00;5.50;6.70;8.00;6.50;8.00;7.50;3.50;4.21;3.00;2.50;5.50;5.00;4.50;2.00;4.00;5.00;6.00;5.00;3.50;4.50
Asia;South-Eastern Asia;Indonesia;6.85;6.60;7.50;6.50;4.50;8.00;8.00;8.00;3.50;4.00;6.50;7.00;7.50;8.00;7.50;6.50;6.00;7.10;6.00;7.50;8.00;6.00;8.00;4.25;4.00;3.50;6.00;5.00;3.50;3.50;4.00;5.00;4.50;4.50;4.00;3.50
Oceania;Melanesia;Kiribati;2.45;2.60;5.00;1.50;2.00;1.00;6.00;2.00;1.00;3.00;3.00;1.00;2.00;4.00;2.00;3.00;2.50;2.30;1.00;4.00;1.50;3.00;2.00;4.33;5.50;5.50;5.00;6.00;4.00;5.00;4.50;4.00;3.00;1.00;3.00;5.50
Americas;South America;Peru;6.40;6.20;7.00;6.50;6.50;7.00;6.00;9.00;5.50;9.00;6.00;4.50;5.00;5.50;9.00;2.00;4.50;6.60;7.00;8.50;7.50;6.00;4.00;4.38;2.50;5.50;5.00;6.00;6.50;3.50;5.00;4.00;4.00;3.50;3.00;4.00
Africa;North Africa;Algeria;4.88;5.17;4.00;7.00;4.50;2.00;5.50;7.00;2.50;4.00;7.00;6.50;4.00;8.00;6.00;6.50;3.00;4.60;1.50;5.00;7.50;5.00;4.00;4.38;4.50;3.00;5.00;6.00;3.00;6.00;6.50;5.00;4.50;3.00;3.50;2.50
Africa;East Africa;Djibouti;4.65;4.30;6.50;7.50;7.50;2.00;5.00;3.00;2.50;2.00;3.50;1.50;1.50;6.50;5.50;6.50;3.50;5.00;1.50;5.00;5.50;7.00;6.00;4.38;4.00;3.00;6.50;4.50;4.00;4.00;5.50;5.00;5.50;3.00;4.00;3.50
Asia;Southern Asia;Bangladesh;5.12;5.03;8.00;6.50;5.00;5.00;5.50;3.50;4.50;3.00;4.00;6.50;5.00;4.50;4.50;3.50;6.50;5.20;6.00;6.00;7.00;4.00;3.00;4.42;4.00;4.00;6.00;5.00;3.00;4.00;5.00;5.50;5.00;3.50;4.00;4.00
